cantante,nacionalidad,fecha_nac,concierto,num_canciones,duracion,recinto,pais,continente,max_entradas,entradas_vendidas
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,Olympic Stadium,Reino Unido,Europa,60000,50827
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Estadio Azteca,México,América del Norte,87000,73730
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Accor Arena,Francia,Europa,20000,14664
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Camp Nou,España,Europa,99000,56469
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Foro Sol,México,América del Norte,65000,39354
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,13208
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,31968
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Maracanã Stadium,Brasil,América del Sur,78000,47353
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,Staples Center,Estados Unidos,América del Norte,20000,11899
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,River Plate Stadium,Argentina,América del Sur,83000,81516
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,AT&T Stadium,Estados Unidos,América del Norte,80000,71078
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,Arena Corinthians,Brasil,América del Sur,49000,25640
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Estadio Azteca,México,América del Norte,87000,77494
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,19292
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,19413
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Estadio Azteca,México,América del Norte,87000,61989
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,Allianz Arena,Alemania,Europa,75000,68097
Rihanna,Barbadense,1988-02-20 00:00:00,Loud Tour,22,110,Palau Sant Jordi,España,Europa,18000,10826
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,MetLife Stadium,Estados Unidos,América del Norte,82500,76514
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Movistar Arena Madrid,España,Europa,17000,16229
Taylor Swift,Estadounidense,1989-12-13 00:00:00,The Eras Tour,45,195,WiZink Center,España,Europa,17000,9958
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Santiago Bernabéu,España,Europa,81000,58039
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,Santiago Bernabéu,España,Europa,81000,62060
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Santiago Bernabéu,España,Europa,81000,42172
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Maracanã Stadium,Brasil,América del Sur,78000,69705
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,MetLife Stadium,Estados Unidos,América del Norte,82500,60225
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Arena Ciudad de México,México,América del Norte,22000,14911
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Scotiabank Arena,Canadá,América del Norte,20000,19926
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,SoFi Stadium,Estados Unidos,América del Norte,70000,38586
Maroon 5,Estadounidense,2000-01-01 00:00:00,Red Pill Blues Tour,22,110,SoFi Stadium,Estados Unidos,América del Norte,70000,35011
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Movistar Arena Madrid,España,Europa,17000,14733
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Allianz Arena,Alemania,Europa,75000,67248
Maroon 5,Estadounidense,2000-01-01 00:00:00,Overexposed Tour,18,95,Camp Nou,España,Europa,99000,93812
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Madison Square Garden,Estados Unidos,América del Norte,20000,17608
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Camp Nou,España,Europa,99000,50533
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Arena Corinthians,Brasil,América del Sur,49000,25742
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,O2 Arena,Reino Unido,Europa,20000,11743
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Scotiabank Arena,Canadá,América del Norte,20000,12246
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,MetLife Stadium,Estados Unidos,América del Norte,82500,79290
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,47175
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,National Stadium Singapore,Singapur,Asia,55000,32210
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Fearless Tour,14,90,Accor Arena,Francia,Europa,20000,13138
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Madison Square Garden,Estados Unidos,América del Norte,20000,12826
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Santiago Bernabéu,España,Europa,81000,74674
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,63361
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Arena Ciudad de México,México,América del Norte,22000,16594
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,O2 Arena,Reino Unido,Europa,20000,18648
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Olympic Stadium,Reino Unido,Europa,60000,35029
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,WiZink Center,España,Europa,17000,16601
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Palau Sant Jordi,España,Europa,18000,16160
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Maracanã Stadium,Brasil,América del Sur,78000,68951
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Foro Sol,México,América del Norte,65000,39643
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Santiago Bernabéu,España,Europa,81000,73140
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Staples Center,Estados Unidos,América del Norte,20000,16288
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,Foro Sol,México,América del Norte,65000,62187
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,47129
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Palau Sant Jordi,España,Europa,18000,14569
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,National Stadium Singapore,Singapur,Asia,55000,33227
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,O2 Arena,Reino Unido,Europa,20000,15889
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,60525
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Camp Nou,España,Europa,99000,72450
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,O2 Arena,Reino Unido,Europa,20000,19282
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,O2 Arena,Reino Unido,Europa,20000,18626
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Foro Sol,México,América del Norte,65000,41950
Rihanna,Barbadense,1988-02-20 00:00:00,Loud Tour,22,110,Allianz Arena,Alemania,Europa,75000,44098
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,Camp Nou,España,Europa,99000,84307
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Madison Square Garden,Estados Unidos,América del Norte,20000,19911
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Reputation Stadium Tour,24,120,Arena Ciudad de México,México,América del Norte,22000,21877
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Rogers Centre,Canadá,América del Norte,50000,46209
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,River Plate Stadium,Argentina,América del Sur,83000,60998
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,O2 Arena,Reino Unido,Europa,20000,10019
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Camp Nou,España,Europa,99000,62723
Coldplay,Británico,2000-01-01 00:00:00,Music of the Spheres World Tour,25,125,Madison Square Garden,Estados Unidos,América del Norte,20000,19859
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Foro Sol,México,América del Norte,65000,46271
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,73182
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Foro Sol,México,América del Norte,65000,37832
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Madison Square Garden,Estados Unidos,América del Norte,20000,13361
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Arena Ciudad de México,México,América del Norte,22000,20386
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,83824
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Arena Ciudad de México,México,América del Norte,22000,19723
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Arena Corinthians,Brasil,América del Sur,49000,40619
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,SoFi Stadium,Estados Unidos,América del Norte,70000,48543
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Foro Sol,México,América del Norte,65000,62133
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Maracanã Stadium,Brasil,América del Sur,78000,75570
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Tokyo Dome,Japón,Asia,55000,52172
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,WiZink Center,España,Europa,17000,12922
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,O2 Arena,Reino Unido,Europa,20000,17776
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Smoke + Mirrors Tour,19,100,AT&T Stadium,Estados Unidos,América del Norte,80000,60632
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,46820
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Rod Laver Arena,Australia,Oceanía,15000,8669
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,Scotiabank Arena,Canadá,América del Norte,20000,10737
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Estadio Azteca,México,América del Norte,87000,57282
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,53087
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,SoFi Stadium,Estados Unidos,América del Norte,70000,35656
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,Camp Nou,España,Europa,99000,70774
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,SoFi Stadium,Estados Unidos,América del Norte,70000,54113
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Scotiabank Arena,Canadá,América del Norte,20000,12253
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Tokyo Dome,Japón,Asia,55000,51860
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,WiZink Center,España,Europa,17000,8934
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,67719
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,48910
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,Estadio Azteca,México,América del Norte,87000,67945
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,Arena Corinthians,Brasil,América del Sur,49000,48138
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,National Stadium Singapore,Singapur,Asia,55000,49045
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,O2 Arena,Reino Unido,Europa,20000,18411
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Estadio Azteca,México,América del Norte,87000,76707
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Movistar Arena Madrid,España,Europa,17000,12837
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Allianz Arena,Alemania,Europa,75000,71246
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,51109
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Estadio Azteca,México,América del Norte,87000,55460
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,River Plate Stadium,Argentina,América del Sur,83000,68535
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,57553
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Allianz Arena,Alemania,Europa,75000,51885
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Movistar Arena Madrid,España,Europa,17000,16855
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Palau Sant Jordi,España,Europa,18000,11982
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Madison Square Garden,Estados Unidos,América del Norte,20000,17804
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Wembley Stadium,Reino Unido,Europa,90000,72768
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Camp Nou,España,Europa,99000,92102
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Staples Center,Estados Unidos,América del Norte,20000,13659
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,48087
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Rod Laver Arena,Australia,Oceanía,15000,14159
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Tokyo Dome,Japón,Asia,55000,34814
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,National Stadium Singapore,Singapur,Asia,55000,30292
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,AT&T Stadium,Estados Unidos,América del Norte,80000,53301
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,44898
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Rod Laver Arena,Australia,Oceanía,15000,13858
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,River Plate Stadium,Argentina,América del Sur,83000,74890
Rihanna,Barbadense,1988-02-20 00:00:00,Loud Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,36426
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Accor Arena,Francia,Europa,20000,18530
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,66054
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,56986
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,O2 Arena,Reino Unido,Europa,20000,11454
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Scotiabank Arena,Canadá,América del Norte,20000,19959
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,WiZink Center,España,Europa,17000,13875
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Rogers Centre,Canadá,América del Norte,50000,42283
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Arena Ciudad de México,México,América del Norte,22000,15231
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Rogers Centre,Canadá,América del Norte,50000,42852
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Camp Nou,España,Europa,99000,92713
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Rod Laver Arena,Australia,Oceanía,15000,7747
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Wembley Stadium,Reino Unido,Europa,90000,74936
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,WiZink Center,España,Europa,17000,9234
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Movistar Arena Madrid,España,Europa,17000,12150
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,O2 Arena,Reino Unido,Europa,20000,16703
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Sydney Olympic Park,Australia,Oceanía,83000,72637
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,WiZink Center,España,Europa,17000,13733
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,United Center,Estados Unidos,América del Norte,21000,15917
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Smoke + Mirrors Tour,19,100,River Plate Stadium,Argentina,América del Sur,83000,57239
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Estadio Azteca,México,América del Norte,87000,74589
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,Allianz Arena,Alemania,Europa,75000,51747
Maroon 5,Estadounidense,2000-01-01 00:00:00,Overexposed Tour,18,95,Movistar Arena Madrid,España,Europa,17000,8677
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,14281
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Foro Sol,México,América del Norte,65000,44690
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Estadio Azteca,México,América del Norte,87000,63167
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,O2 Arena,Reino Unido,Europa,20000,17634
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Tokyo Dome,Japón,Asia,55000,36521
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Smoke + Mirrors Tour,19,100,Sydney Olympic Park,Australia,Oceanía,83000,61580
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Foro Sol,México,América del Norte,65000,55078
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,Staples Center,Estados Unidos,América del Norte,20000,19562
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Arena Ciudad de México,México,América del Norte,22000,11264
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Palau Sant Jordi,España,Europa,18000,12888
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,38580
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Palau Sant Jordi,España,Europa,18000,12416
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,11987
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,Wembley Stadium,Reino Unido,Europa,90000,73689
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Camp Nou,España,Europa,99000,59191
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Movistar Arena Madrid,España,Europa,17000,8802
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,WiZink Center,España,Europa,17000,10549
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,AT&T Stadium,Estados Unidos,América del Norte,80000,43914
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Accor Arena,Francia,Europa,20000,13451
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,42372
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,AT&T Stadium,Estados Unidos,América del Norte,80000,52360
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Wembley Stadium,Reino Unido,Europa,90000,84208
Beyonce,Estadounidense,1981-09-04 00:00:00,Formation World Tour,32,140,Santiago Bernabéu,España,Europa,81000,52234
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Fearless Tour,14,90,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,59128
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,Rogers Centre,Canadá,América del Norte,50000,46011
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,SoFi Stadium,Estados Unidos,América del Norte,70000,68903
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Rod Laver Arena,Australia,Oceanía,15000,14589
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,34852
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Arena Ciudad de México,México,América del Norte,22000,20949
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,WiZink Center,España,Europa,17000,14504
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Rod Laver Arena,Australia,Oceanía,15000,14808
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Allianz Arena,Alemania,Europa,75000,45726
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Arena Ciudad de México,México,América del Norte,22000,13783
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Scotiabank Arena,Canadá,América del Norte,20000,15220
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Maracanã Stadium,Brasil,América del Sur,78000,55141
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Scotiabank Arena,Canadá,América del Norte,20000,11030
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Santiago Bernabéu,España,Europa,81000,44284
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Camp Nou,España,Europa,99000,71993
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Movistar Arena Madrid,España,Europa,17000,14816
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,12354
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,Maracanã Stadium,Brasil,América del Sur,78000,42938
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Madison Square Garden,Estados Unidos,América del Norte,20000,15091
Maroon 5,Estadounidense,2000-01-01 00:00:00,Red Pill Blues Tour,22,110,Tokyo Dome,Japón,Asia,55000,35696
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,57213
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Madison Square Garden,Estados Unidos,América del Norte,20000,12996
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,O2 Arena,Reino Unido,Europa,20000,12264
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,River Plate Stadium,Argentina,América del Sur,83000,78325
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,68627
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,MetLife Stadium,Estados Unidos,América del Norte,82500,56890
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Santiago Bernabéu,España,Europa,81000,53598
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Palau Sant Jordi,España,Europa,18000,9552
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,National Stadium Singapore,Singapur,Asia,55000,35282
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Accor Arena,Francia,Europa,20000,18874
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Wembley Stadium,Reino Unido,Europa,90000,84701
Maroon 5,Estadounidense,2000-01-01 00:00:00,Overexposed Tour,18,95,Rod Laver Arena,Australia,Oceanía,15000,14591
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,61339
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,69388
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,AT&T Stadium,Estados Unidos,América del Norte,80000,47321
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Allianz Arena,Alemania,Europa,75000,43639
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Palau Sant Jordi,España,Europa,18000,13668
